Date,Summary,Precip Type,Temperature(°C),Apparent Temperature(°C),Humidity,Wind Speed(km/h),Wind Bearing(degrees),Visibility(km),Loud Cover,Pressure(millibars),Daily Summary
2011-04-01,Clear,rain,7.738888889,7.738888889,0.95,2.9141,176,11.9784,0,1023.3,Mostly cloudy starting in the morning.
2011-04-10,Clear,rain,8.422222222,7.505555556,0.48,6.601,5,15.8263,0,1016.15,Partly cloudy starting in the morning continuing until night and breezy starting in the afternoon continuing until evening.
2011-04-11,Partly Cloudy,rain,8.466666667,6.727777778,0.55,10.465,31,15.8263,0,1017.62,Partly cloudy throughout the day.
2011-04-12,Mostly Cloudy,rain,8.388888889,7.55,0.64,6.2951,192,15.8263,0,1016.09,Mostly cloudy until night and breezy starting in the evening.
2011-04-13,Windy,rain,12.17222222,12.17222222,0.57,41.1999,319,9.982,0,0.0,Breezy in the morning and mostly cloudy starting in the morning.
2011-04-14,Partly Cloudy,rain,5.0,1.411111111,0.82,17.4363,290,15.8263,0,1011.63,Partly cloudy throughout the day.
2011-04-15,Partly Cloudy,rain,5.6,4.25,0.93,6.5849,283,7.2128,0,1012.43,Mostly cloudy throughout the day.
2011-04-16,Overcast,rain,8.866666667,8.05,0.73,6.4883,2,9.982,0,1017.95,Partly cloudy throughout the day.
2011-04-17,Partly Cloudy,rain,5.238888889,5.238888889,0.79,3.1878,348,15.8263,0,1022.34,Partly cloudy throughout the day.
2011-04-18,Mostly Cloudy,rain,8.527777778,8.527777778,0.8,3.1878,358,15.8263,0,1023.74,Partly cloudy until evening.
2011-04-19,Clear,rain,8.638888889,7.877777778,0.69,6.1502,340,15.8263,0,1018.95,Partly cloudy starting in the morning.
2011-04-02,Clear,rain,12.13333333,12.13333333,0.83,6.3595,317,9.982,0,1022.42,Partly cloudy starting overnight continuing until evening.
2011-04-20,Partly Cloudy,rain,10.42777778,10.42777778,0.74,11.1573,342,14.9086,0,1016.16,Partly cloudy until evening.
2011-04-21,Clear,rain,8.616666667,8.616666667,0.79,3.22,320,15.8263,0,1019.6,Partly cloudy starting in the afternoon continuing until evening.
2011-04-22,Clear,rain,12.98888889,12.98888889,0.63,6.44,110,15.8263,0,1016.6,Partly cloudy starting overnight continuing until evening.
2011-04-23,Clear,rain,14.12222222,14.12222222,0.53,14.49,160,15.8263,0,1015.27,Partly cloudy starting in the morning continuing until night.
2011-04-24,Mostly Cloudy,rain,11.62777778,11.62777778,0.61,13.8621,160,15.8263,0,1016.75,Mostly cloudy throughout the day.
2011-04-25,Mostly Cloudy,rain,13.22222222,13.22222222,0.6,10.7548,188,15.8263,0,1017.54,Mostly cloudy throughout the day.
2011-04-26,Mostly Cloudy,rain,14.83333333,14.83333333,0.52,13.4435,157,15.8263,0,1016.0,Mostly cloudy throughout the day.
2011-04-27,Partly Cloudy,rain,9.4,9.4,0.74,2.9463,25,15.8263,0,1015.3,Mostly cloudy throughout the day.
2011-04-28,Overcast,rain,13.20555556,13.20555556,0.64,6.601,222,15.8263,0,1013.7,Mostly cloudy throughout the day.
2011-04-29,Overcast,rain,11.67222222,11.67222222,0.8,3.1556,330,15.8263,0,1013.0,Mostly cloudy throughout the day.
2011-04-03,Partly Cloudy,rain,10.39444444,10.39444444,0.72,10.5777,41,14.9086,0,1018.81,Partly cloudy starting in the morning continuing until evening.
2011-04-30,Overcast,rain,10.56666667,10.56666667,0.93,3.22,170,9.982,0,1010.95,Mostly cloudy throughout the day.
2011-04-04,Clear,rain,9.238888889,9.238888889,0.82,3.0751,340,15.8263,0,1015.52,Mostly cloudy starting in the morning.
2011-04-05,Overcast,rain,13.24444444,13.24444444,0.83,15.1984,301,15.8263,0,1016.24,Mostly cloudy until night.
2011-04-06,Clear,rain,8.861111111,8.861111111,0.88,3.3166,262,14.9086,0,1024.53,Partly cloudy starting in the morning continuing until night.
2011-04-07,Mostly Cloudy,rain,11.23333333,11.23333333,0.79,10.5938,270,15.8263,0,1023.51,Mostly cloudy throughout the day.
2011-04-08,Overcast,rain,18.85,18.85,0.61,19.9801,251,15.8263,0,1010.63,Mostly cloudy until night and breezy starting in the morning continuing until evening.
2011-04-09,Clear,rain,10.09444444,10.09444444,0.65,14.2968,221,15.8263,0,1010.08,Partly cloudy starting overnight continuing until evening and windy starting in the morning continuing until evening.
2011-08-01,Partly Cloudy,rain,15.09444444,15.09444444,0.92,6.6332,252,15.8263,0,1012.67,Partly cloudy until night.
2011-08-10,Mostly Cloudy,rain,16.25,16.25,0.8,6.7137,327,15.8263,0,1016.17,Partly cloudy until evening.
2011-08-11,Clear,rain,13.79444444,13.79444444,0.77,10.948,310,15.8263,0,1020.4,Partly cloudy overnight.
2011-08-12,Partly Cloudy,rain,12.27222222,12.27222222,0.9,3.22,240,15.8263,0,1017.68,Partly cloudy starting overnight.
2011-08-13,Partly Cloudy,rain,14.46666667,14.46666667,0.93,3.22,340,15.8263,0,1012.53,Partly cloudy until night.
